date,action,price,contracts,profit,drawdown
2000-01-05,buy,8718.0,1,,
2000-01-07,sell,8781.0,1,11400.0,44200.0
2000-01-10,buy,8949.0,1,,
2000-01-13,sell,9190.0,1,47000.0,29400.0
2000-01-14,buy,9161.0,1,,
2000-01-17,sell,9230.0,1,12600.0,16800.0
2000-01-18,buy,9290.0,1,,
2000-01-19,sell,9240.0,1,-11200.0,28000.0
2000-01-20,buy,9217.0,1,,
2000-01-20,settlement,9269.0,1,9200.0,18800.0
2000-01-24,buy,9409.0,1,,
2000-01-25,sell,9431.0,1,3200.0,15600.0
2000-01-26,buy,9520.0,1,,
2000-01-27,sell,9750.0,1,44800.0,1400.0
2000-01-28,buy,9660.0,1,,
2000-01-29,sell,9700.0,1,6800.0,19400.0
2000-01-31,buy,9736.0,1,,
2000-02-01,sell,9949.0,1,41400.0,-16400.0
2000-02-09,buy,10173.0,1,,
2000-02-10,sell,10140.0,1,-7800.0,11200.0
2000-02-11,buy,10185.0,1,,
2000-02-14,sell,10100.0,1,-18200.0,36800.0
2000-02-15,buy,9901.0,1,,
2000-02-16,sell,9999.0,1,18400.0,18400.0
2000-02-17,buy,10140.0,1,,
2000-02-17,settlement,10293.0,1,29400.0,6400.0
2000-02-19,buy,10103.0,1,,
2000-02-21,sell,10219.0,1,22000.0,17400.0
2000-02-22,buy,9961.0,1,,
2000-02-24,sell,9780.0,1,-37400.0,54800.0
2000-02-25,buy,9750.0,1,,
2000-02-29,sell,9652.0,1,-20800.0,75600.0
2000-03-01,buy,9701.0,1,,
2000-03-02,sell,9839.0,1,26400.0,49200.0
2000-03-03,buy,9700.0,1,,
2000-03-04,sell,9840.0,1,26800.0,22400.0
2000-03-06,buy,9630.0,1,,
2000-03-07,sell,9480.0,1,-31200.0,53600.0
2000-03-08,buy,9530.0,1,,
2000-03-09,sell,9575.0,1,7800.0,45800.0
2000-03-10,buy,9710.0,1,,
2000-03-13,sell,9430.0,1,-57200.0,103000.0
2000-03-14,buy,8550.0,1,,
2000-03-15,sell,8735.0,1,35800.0,67200.0
2000-03-16,buy,8650.0,1,,
2000-03-16,settlement,8664.0,1,1600.0,65600.0
2000-03-17,buy,8701.0,1,,
2000-03-21,sell,8259.0,1,-89600.0,155200.0
2000-03-22,buy,8999.0,1,,
2000-03-24,sell,9610.0,1,121000.0,34200.0
2000-03-27,buy,9520.0,1,,
2000-03-28,sell,9801.0,1,55000.0,18600.0
2000-03-29,buy,9780.0,1,,
2000-03-30,sell,9830.0,1,8800.0,15400.0
2000-03-31,buy,9880.0,1,,
2000-04-01,sell,9900.0,1,2800.0,16000.0
2000-04-05,buy,10209.0,1,,
2000-04-08,sell,10079.0,1,-27200.0,61600.0
2000-04-10,buy,10030.0,1,,
2000-04-12,sell,10130.0,1,18800.0,42800.0
2000-04-13,buy,9750.0,1,,
2000-04-15,sell,8766.0,1,-198000.0,240800.0
2000-04-17,buy,8710.0,1,,
2000-04-18,sell,9250.0,1,106800.0,134000.0
2000-04-19,buy,9499.0,1,,
2000-04-20,sell,9052.0,1,-90600.0,224600.0
2000-04-21,buy,9175.0,1,,
2000-04-24,sell,9129.0,1,-10400.0,235000.0
2000-04-25,buy,8784.0,1,,
2000-04-28,sell,8650.0,1,-28000.0,263000.0
2000-04-29,buy,8820.0,1,,
2000-05-02,sell,8890.0,1,12800.0,250200.0
2000-05-03,buy,8612.0,1,,
2000-05-04,sell,8590.0,1,-5600.0,255800.0
2000-05-05,buy,8430.0,1,,
2000-05-06,sell,8750.0,1,62800.0,193000.0
2000-05-08,buy,8735.0,1,,
2000-05-09,sell,8697.0,1,-8800.0,201800.0
2000-05-10,buy,8770.0,1,,
2000-05-12,sell,8530.0,1,-49200.0,251000.0
2000-05-15,buy,8605.0,1,,
2000-05-16,sell,8562.0,1,-9800.0,260800.0
2000-05-17,buy,8850.0,1,,
2000-05-18,sell,9030.0,1,34800.0,226000.0
2000-05-19,buy,9050.0,1,,
2000-05-20,sell,9180.0,1,24800.0,201200.0
2000-05-22,buy,8890.0,1,,
2000-05-25,sell,8700.0,1,-39200.0,240400.0
2000-05-26,buy,8500.0,1,,
2000-05-30,sell,8690.0,1,36800.0,203600.0
2000-05-31,buy,8970.0,1,,
2000-06-01,sell,8941.0,1,-7000.0,210600.0
2000-06-02,buy,9000.0,1,,
2000-06-05,sell,8999.0,1,-1400.0,212000.0
2000-06-07,buy,9001.0,1,,
2000-06-09,sell,9114.0,1,21400.0,190600.0
2000-06-12,buy,9093.0,1,,
2000-06-13,sell,8955.0,1,-28800.0,219400.0
2000-06-14,buy,8949.0,1,,
2000-06-15,sell,8938.0,1,-3400.0,222800.0
2000-06-16,buy,8874.0,1,,
2000-06-17,sell,8868.0,1,-2400.0,225200.0
2000-06-19,buy,8849.0,1,,
2000-06-21,sell,8723.0,1,-26400.0,251600.0
2000-06-22,buy,8739.0,1,,
2000-06-22,settlement,8920.0,1,35000.0,216600.0
2000-06-23,buy,8875.0,1,,
2000-06-26,sell,8774.0,1,-21400.0,238000.0
2000-06-27,buy,8706.0,1,,
2000-06-30,sell,8101.0,1,-122200.0,360200.0
2000-07-03,buy,8272.0,1,,
2000-07-05,sell,8102.0,1,-35200.0,395400.0
2000-07-06,buy,8310.0,1,,
2000-07-07,sell,8316.0,1,0.0,395400.0
2000-07-10,buy,8226.0,1,,
2000-07-13,sell,8190.0,1,-8400.0,403800.0
2000-07-14,buy,8329.0,1,,
2000-07-15,sell,8504.0,1,33800.0,370000.0
2000-07-17,buy,8559.0,1,,
2000-07-18,sell,8492.0,1,-14600.0,384600.0
2000-07-19,buy,8316.0,1,,
2000-07-20,sell,8350.0,1,5600.0,379000.0
2000-07-21,buy,8300.0,1,,
2000-07-25,sell,8102.0,1,-40800.0,419800.0
2000-07-26,buy,7979.0,1,,
2000-08-01,sell,8138.0,1,30600.0,389200.0
2000-08-02,buy,8000.0,1,,
2000-08-03,sell,7950.0,1,-11200.0,400400.0
2000-08-04,buy,7978.0,1,,
2000-08-07,sell,7849.0,1,-27000.0,427400.0
2000-08-08,buy,7835.0,1,,
2000-08-11,sell,8044.0,1,40600.0,386800.0
2000-08-14,buy,7999.0,1,,
2000-08-15,sell,7905.0,1,-20000.0,406800.0
2000-08-16,buy,7896.0,1,,
2000-08-17,sell,8110.0,1,41600.0,365200.0
2000-08-18,buy,8246.0,1,,
2000-08-19,sell,8197.0,1,-11000.0,376200.0
2000-08-21,buy,8269.0,1,,
2000-08-29,sell,7886.0,1,-77800.0,454000.0
2000-08-31,buy,7511.0,1,,
2000-09-01,sell,7649.0,1,26400.0,427600.0
2000-09-02,buy,7580.0,1,,
2000-09-05,sell,7775.0,1,37800.0,389800.0
2000-09-06,buy,7708.0,1,,
2000-09-11,sell,7411.0,1,-60600.0,450400.0
2000-09-13,buy,7380.0,1,,
2000-09-15,sell,7181.0,1,-41000.0,491400.0
2000-09-16,buy,7130.0,1,,
2000-09-18,sell,7040.0,1,-19200.0,510600.0
2000-09-19,buy,6861.0,1,,
2000-09-21,sell,6953.0,1,17200.0,493400.0
2000-09-22,buy,6803.0,1,,
2000-09-26,sell,6606.0,1,-40600.0,534000.0
2000-09-27,buy,6780.0,1,,
2000-09-28,sell,6850.0,1,12800.0,521200.0
2000-09-29,buy,6639.0,1,,
2000-10-03,sell,6149.0,1,-99200.0,620400.0
2000-10-04,buy,6043.0,1,,
2000-10-05,sell,6050.0,1,200.0,620200.0
2000-10-06,buy,6102.0,1,,
2000-10-09,sell,6435.0,1,65400.0,554800.0
2000-10-11,buy,5988.0,1,,
2000-10-12,sell,5900.0,1,-18800.0,573600.0
2000-10-13,buy,5355.0,1,,
2000-10-16,sell,6163.0,1,160400.0,413200.0
2000-10-17,buy,5510.0,1,,
2000-10-18,sell,5647.0,1,26200.0,387000.0
2000-10-19,buy,5419.0,1,,
2000-10-19,settlement,5199.0,1,-45200.0,432200.0
2000-10-20,buy,5500.0,1,,
2000-10-21,sell,5600.0,1,18800.0,413400.0
2000-10-23,buy,5631.0,1,,
2000-10-24,sell,5670.0,1,6600.0,406800.0
2000-10-25,buy,5840.0,1,,
2000-10-26,sell,5861.0,1,3000.0,403800.0
2000-10-27,buy,5960.0,1,,
2000-10-31,sell,5600.0,1,-73200.0,477000.0
2000-11-01,buy,5645.0,1,,
2000-11-02,sell,5475.0,1,-35200.0,512200.0
2000-11-03,buy,5800.0,1,,
2000-11-04,sell,5930.0,1,24800.0,487400.0
2000-11-06,buy,5755.0,1,,
2000-11-07,sell,5794.0,1,6600.0,480800.0
2000-11-08,buy,5960.0,1,,
2000-11-13,sell,6040.0,1,14800.0,466000.0
2000-11-14,buy,5905.0,1,,
2000-11-15,sell,6043.0,1,26400.0,439600.0
2000-11-16,buy,5573.0,1,,
2000-11-16,settlement,5374.0,1,-41000.0,480600.0
2000-11-17,buy,5290.0,1,,
2000-11-20,sell,5053.0,1,-48600.0,529200.0
2000-11-21,buy,4730.0,1,,
2000-11-24,sell,5252.0,1,103200.0,426000.0
2000-11-27,buy,5549.0,1,,
2000-11-28,sell,5399.0,1,-31200.0,457200.0
2000-11-29,buy,5210.0,1,,
2000-12-01,sell,5236.0,1,4000.0,453200.0
2000-12-02,buy,5401.0,1,,
2000-12-04,sell,5250.0,1,-31400.0,484600.0
2000-12-05,buy,5250.0,1,,
2000-12-07,sell,5160.0,1,-19200.0,503800.0
2000-12-08,buy,5260.0,1,,
2000-12-14,sell,5365.0,1,19800.0,484000.0
2000-12-15,buy,5250.0,1,,
2000-12-16,sell,5190.0,1,-13200.0,497200.0
2000-12-18,buy,5160.0,1,,
2000-12-19,sell,5062.0,1,-20800.0,518000.0
2000-12-20,buy,5001.0,1,,
2000-12-21,sell,4762.0,1,-49000.0,567000.0
2000-12-22,buy,4733.0,1,,
2000-12-27,sell,4658.0,1,-16200.0,583200.0
2000-12-28,buy,4608.0,1,,
2000-12-30,sell,4650.0,1,7200.0,576000.0
2001-01-02,buy,4702.0,1,,
2001-01-04,sell,5149.0,1,88200.0,487800.0
2001-01-05,buy,5150.0,1,,
2001-01-11,sell,5422.0,1,53200.0,434600.0
2001-01-12,buy,5385.0,1,,
2001-01-15,sell,5320.0,1,-14200.0,448800.0
2001-01-16,buy,5424.0,1,,
2001-01-17,sell,5824.0,1,78800.0,370000.0
2001-01-18,buy,5830.0,1,,
2001-01-18,settlement,5949.0,1,22600.0,347400.0
2001-01-30,buy,5668.0,1,,
2001-02-01,sell,5940.0,1,53200.0,294200.0
2001-02-02,buy,5950.0,1,,
2001-02-06,sell,5881.0,1,-15000.0,309200.0
2001-02-07,buy,5795.0,1,,
2001-02-08,sell,5680.0,1,-24200.0,333400.0
2001-02-09,buy,5748.0,1,,
2001-02-12,sell,5745.0,1,-1800.0,335200.0
2001-02-13,buy,5878.0,1,,
2001-02-14,sell,6040.0,1,31200.0,304000.0
2001-02-15,buy,5891.0,1,,
2001-02-16,sell,6140.0,1,48600.0,255400.0
2001-02-19,buy,5925.0,1,,
2001-02-20,sell,5955.0,1,4800.0,250600.0
2001-02-21,buy,5885.0,1,,
2001-02-22,sell,5851.0,1,-8000.0,258600.0
2001-02-23,buy,5745.0,1,,
2001-02-26,sell,5746.0,1,-1000.0,259600.0
2001-02-27,buy,5805.0,1,,
2001-03-01,sell,5581.0,1,-46000.0,305600.0
2001-03-02,buy,5541.0,1,,
2001-03-06,sell,5650.0,1,20600.0,285000.0
2001-03-07,buy,5689.0,1,,
2001-03-08,sell,5749.0,1,10800.0,274200.0
2001-03-09,buy,5649.0,1,,
2001-03-12,sell,5499.0,1,-31200.0,305400.0
2001-03-13,buy,5480.0,1,,
2001-03-15,sell,5608.0,1,24400.0,281000.0
2001-03-16,buy,5750.0,1,,
2001-03-19,sell,5727.0,1,-5800.0,286800.0
2001-03-20,buy,5659.0,1,,
2001-03-21,sell,5555.0,1,-22000.0,308800.0
2001-03-22,buy,5631.0,1,,
2001-03-22,settlement,5750.0,1,22600.0,286200.0
2001-03-23,buy,5830.0,1,,
2001-03-26,sell,5833.0,1,-600.0,286800.0
2001-03-27,buy,5909.0,1,,
2001-03-29,sell,5806.0,1,-21800.0,308600.0
2001-03-30,buy,5858.0,1,,
